country,risk_tier,trajectory_cluster,dominant_trajectory_domain,structural_cluster,shock_sensitivity,driver_1,driver_2,driver_3,driver_1_direction,driver_2_direction,driver_3_direction,data_reliability,country_archetype,country_narrative
Algeria,T0_reference,Education-Led Social Improvers,Labor,North African Reformers,-0.087545329796935,,,,,,,Medium,Transitional or Mixed Trajectory System,"Algeria is classified as a **Transitional or Mixed Trajectory System**, exhibiting a combination of structural, dynamic, and shock-response characteristics that do not align cleanly with a single risk pattern. While classified as T0_reference, its dominant **Labor** trajectory and Medium data reliability suggest that further qualitative investigation is required for precise interpretation."
Bahrain,T0_reference,Steady Reformers,Economy,High-Income Empowerers,-0.1348135947097827,,,,,,,High,Stable Reformers with Institutional Momentum,"Bahrain is classified as a **Stable Reformer with Institutional Momentum**, reflecting low estimated risk (T0_reference), strong structural positioning (High-Income Empowerers), and negative or neutral shock sensitivity. Dominant trajectories in the **Economy** domain remain stable over time, indicating effective shock absorption and policy continuity. With High data reliability, this profile represents one of the most resilient gender-policy environments in the region."
"Egypt, Arab Rep.",T0_reference,Education-Led Social Improvers,WBL,Fragile States,-0.1495588948147136,,,,,,,Medium-Low,Structurally Fragile but Statistically Buffered,"Egypt, Arab Rep. is classified as **Structurally Fragile but Statistically Buffered**. While the classifier assigns a low-risk label (T0_reference), the country remains embedded in a fragile structural cluster (Fragile States). Shock sensitivity is muted, and dominant trajectories in the **WBL** domain appear smooth, a pattern consistent with **data smoothing or delayed reporting** (Medium-Low reliability). This suggests that low estimated risk should be interpreted cautiously, as it may mask latent instability."
"Iran, Islamic Rep.",T0_reference,Education-Led Social Improvers,Education,Fragile States,-0.1206065667857478,,,,,,,Medium-Low,Structurally Fragile but Statistically Buffered,"Iran, Islamic Rep. is classified as **Structurally Fragile but Statistically Buffered**. While the classifier assigns a low-risk label (T0_reference), the country remains embedded in a fragile structural cluster (Fragile States). Shock sensitivity is muted, and dominant trajectories in the **Education** domain appear smooth, a pattern consistent with **data smoothing or delayed reporting** (Medium-Low reliability). This suggests that low estimated risk should be interpreted cautiously, as it may mask latent instability."
Iraq,T0_reference,Education-Led Social Improvers,Education,Fragile States,-0.1258208716402439,,,,,,,Low,Structurally Fragile but Statistically Buffered,"Iraq is classified as **Structurally Fragile but Statistically Buffered**. While the classifier assigns a low-risk label (T0_reference), the country remains embedded in a fragile structural cluster (Fragile States). Shock sensitivity is muted, and dominant trajectories in the **Education** domain appear smooth, a pattern consistent with **data smoothing or delayed reporting** (Low reliability). This suggests that low estimated risk should be interpreted cautiously, as it may mask latent instability."
Jordan,T0_reference,Steady Moderate Improvers,Governance,Fragile States,-0.1532460182596833,,,,,,,High,Stable Reformers with Institutional Momentum,"Jordan is classified as a **Stable Reformer with Institutional Momentum**, reflecting low estimated risk (T0_reference), strong structural positioning (Fragile States), and negative or neutral shock sensitivity. Dominant trajectories in the **Governance** domain remain stable over time, indicating effective shock absorption and policy continuity. With High data reliability, this profile represents one of the most resilient gender-policy environments in the region."
Kuwait,T0_reference,Steady Moderate Improvers,Health,High-Income Empowerers,-0.112109742175599,,,,,,,Medium,Transitional or Mixed Trajectory System,"Kuwait is classified as a **Transitional or Mixed Trajectory System**, exhibiting a combination of structural, dynamic, and shock-response characteristics that do not align cleanly with a single risk pattern. While classified as T0_reference, its dominant **Health** trajectory and Medium data reliability suggest that further qualitative investigation is required for precise interpretation."
Lebanon,T3_strong,Education-Led Social Improvers,Economy,Lebanon Outlier,0.08997322167768,cat_Demographics_cagr,cat_LegalAutonomy_coef_variation,regional_deviation_std_mean,protective,risk_increasing,risk_increasing,Medium-Low,Shock-Exposed Fragile System,"Lebanon is classified as a **Shock-Exposed Fragile System**, characterized by high model-estimated risk (T3_strong), structural fragility (Lebanon Outlier), and elevated shock sensitivity. The country’s dominant trajectory in the **Economy** domain shows strong volatility, indicating that external and internal shocks translate directly into instability rather than being absorbed institutionally. Given Medium-Low data reliability, these signals likely reflect **real compounding vulnerability**, making this a priority case for policy intervention and crisis mitigation."
Libya,T0_reference,Education-Led Social Improvers,Education,North African Reformers,-0.0683736254646746,,,,,,,Collapsed,Collapsed Statistical System (False Stability),"Libya is classified as a **Collapsed Statistical System**, meaning that apparent stability in model outputs reflects **data-system failure rather than real-world resilience**. Despite severe structural stress and historical instability, the dataset shows muted trajectories and low shock sensitivity, consistent with **collapsed reporting capacity** (Collapsed reliability). As a result, classifier-based risk estimates for Libya are **non-interpretable**, and conclusions should rely on qualitative or external evidence rather than quantitative indicators."
Morocco,T3_strong,Morocco,Health,North African Reformers,0.0158501324100045,cat_LegalAutonomy_coef_variation,cat_Economy_trend_slope,coef_variation_mean,risk_increasing,risk_increasing,risk_increasing,High,Reform–Shock Collision State,"Morocco is classified as a **Reform–Shock Collision State**, where elevated risk (T3_strong) emerges despite strong reform-oriented dynamics. Although structurally positioned among North African Reformers, the country exhibits positive but unstable trajectories in the **Health** domain, combined with measurable shock sensitivity. With High data reliability, the model captures a pattern where **reform momentum collides with economic or social stress**, generating risk not from policy absence but from reform–capacity misalignment."
Oman,T0_reference,Steady Moderate Improvers,Health,High-Income Empowerers,-0.1327964895579595,,,,,,,High,Stable Reformers with Institutional Momentum,"Oman is classified as a **Stable Reformer with Institutional Momentum**, reflecting low estimated risk (T0_reference), strong structural positioning (High-Income Empowerers), and negative or neutral shock sensitivity. Dominant trajectories in the **Health** domain remain stable over time, indicating effective shock absorption and policy continuity. With High data reliability, this profile represents one of the most resilient gender-policy environments in the region."
Qatar,T0_reference,Steady Moderate Improvers,Demographics,High-Income Empowerers,-0.01296829015364,,,,,,,High,Stable Reformers with Institutional Momentum,"Qatar is classified as a **Stable Reformer with Institutional Momentum**, reflecting low estimated risk (T0_reference), strong structural positioning (High-Income Empowerers), and negative or neutral shock sensitivity. Dominant trajectories in the **Demographics** domain remain stable over time, indicating effective shock absorption and policy continuity. With High data reliability, this profile represents one of the most resilient gender-policy environments in the region."
Saudi Arabia,T0_reference,Steady Reformers,LegalAutonomy,High-Income Empowerers,-0.1459323626898919,,,,,,,High,Stable Reformers with Institutional Momentum,"Saudi Arabia is classified as a **Stable Reformer with Institutional Momentum**, reflecting low estimated risk (T0_reference), strong structural positioning (High-Income Empowerers), and negative or neutral shock sensitivity. Dominant trajectories in the **LegalAutonomy** domain remain stable over time, indicating effective shock absorption and policy continuity. With High data reliability, this profile represents one of the most resilient gender-policy environments in the region."
Syrian Arab Republic,T0_reference,Education-Led Social Improvers,Demographics,Fragile States,-0.144291032114227,,,,,,,Collapsed,Collapsed Statistical System (False Stability),"Syrian Arab Republic is classified as a **Collapsed Statistical System**, meaning that apparent stability in model outputs reflects **data-system failure rather than real-world resilience**. Despite severe structural stress and historical instability, the dataset shows muted trajectories and low shock sensitivity, consistent with **collapsed reporting capacity** (Collapsed reliability). As a result, classifier-based risk estimates for Syrian Arab Republic are **non-interpretable**, and conclusions should rely on qualitative or external evidence rather than quantitative indicators."
Tunisia,T0_reference,Education-Led Social Improvers,Governance,North African Reformers,-0.08521352496969,,,,,,,Medium-High,Transitional or Mixed Trajectory System,"Tunisia is classified as a **Transitional or Mixed Trajectory System**, exhibiting a combination of structural, dynamic, and shock-response characteristics that do not align cleanly with a single risk pattern. While classified as T0_reference, its dominant **Governance** trajectory and Medium-High data reliability suggest that further qualitative investigation is required for precise interpretation."
United Arab Emirates,T0_reference,UAE,WBL,High-Income Empowerers,-0.0998823633400174,,,,,,,Very High,Stable Reformers with Institutional Momentum,"United Arab Emirates is classified as a **Stable Reformer with Institutional Momentum**, reflecting low estimated risk (T0_reference), strong structural positioning (High-Income Empowerers), and negative or neutral shock sensitivity. Dominant trajectories in the **WBL** domain remain stable over time, indicating effective shock absorption and policy continuity. With Very High data reliability, this profile represents one of the most resilient gender-policy environments in the region."
West Bank and Gaza,T3_strong,Palestine,Health,Palestine,0.0453994482060956,cat_Demographics_cagr,cat_LegalAutonomy_coef_variation,coef_variation_mean,protective,risk_increasing,risk_increasing,Very Low,Shock-Exposed Fragile System,"West Bank and Gaza is classified as a **Shock-Exposed Fragile System**, characterized by high model-estimated risk (T3_strong), structural fragility (Palestine), and elevated shock sensitivity. The country’s dominant trajectory in the **Health** domain shows strong volatility, indicating that external and internal shocks translate directly into instability rather than being absorbed institutionally. Given Very Low data reliability, these signals likely reflect **real compounding vulnerability**, making this a priority case for policy intervention and crisis mitigation."
"Yemen, Rep.",T0_reference,Education-Led Social Improvers,Labor,Fragile States,-0.0151265311984142,,,,,,,Collapsed,Collapsed Statistical System (False Stability),"Yemen, Rep. is classified as a **Collapsed Statistical System**, meaning that apparent stability in model outputs reflects **data-system failure rather than real-world resilience**. Despite severe structural stress and historical instability, the dataset shows muted trajectories and low shock sensitivity, consistent with **collapsed reporting capacity** (Collapsed reliability). As a result, classifier-based risk estimates for Yemen, Rep. are **non-interpretable**, and conclusions should rely on qualitative or external evidence rather than quantitative indicators."
