country,country_archetype,risk_tier,dominant_trajectory_domain,shock_sensitivity,data_reliability,policy_summary
Algeria,Transitional or Mixed Trajectory System,T0_reference,Labor,-0.087545329796935,Medium,"Mixed signals across risk, structure, and dynamics; targeted diagnostic assessment is recommended before policy prioritization."
Bahrain,Stable Reformers with Institutional Momentum,T0_reference,Economy,-0.1348135947097827,High,Low-risk and resilient system; policy focus should shift from crisis mitigation to deepening reforms in the economy domain.
"Egypt, Arab Rep.",Structurally Fragile but Statistically Buffered,T0_reference,WBL,-0.1495588948147136,Medium-Low,Low measured risk may mask latent instability; preventive reforms in the wbl domain are recommended despite muted indicators.
"Iran, Islamic Rep.",Structurally Fragile but Statistically Buffered,T0_reference,Education,-0.1206065667857478,Medium-Low,Low measured risk may mask latent instability; preventive reforms in the education domain are recommended despite muted indicators.
Iraq,Structurally Fragile but Statistically Buffered,T0_reference,Education,-0.1258208716402439,Low,Low measured risk may mask latent instability; preventive reforms in the education domain are recommended despite muted indicators.
Jordan,Stable Reformers with Institutional Momentum,T0_reference,Governance,-0.1532460182596833,High,Low-risk and resilient system; policy focus should shift from crisis mitigation to deepening reforms in the governance domain.
Kuwait,Transitional or Mixed Trajectory System,T0_reference,Health,-0.112109742175599,Medium,"Mixed signals across risk, structure, and dynamics; targeted diagnostic assessment is recommended before policy prioritization."
Lebanon,Shock-Exposed Fragile System,T3_strong,Economy,0.08997322167768,Medium-Low,High-risk environment with direct exposure to shocks; interventions should focus on stabilizing the economy domain and strengthening crisis-response capacity.
Libya,Collapsed Statistical System (False Stability),T0_reference,Education,-0.0683736254646746,Collapsed,Quantitative indicators are unreliable due to data-system collapse; policy assessment should prioritize qualitative evidence and humanitarian monitoring.
Morocco,Reform–Shock Collision State,T3_strong,Health,0.0158501324100045,High,Reform momentum is present but vulnerable to disruption; policy should prioritize institutional absorption capacity in the health domain.
Oman,Stable Reformers with Institutional Momentum,T0_reference,Health,-0.1327964895579595,High,Low-risk and resilient system; policy focus should shift from crisis mitigation to deepening reforms in the health domain.
Qatar,Stable Reformers with Institutional Momentum,T0_reference,Demographics,-0.01296829015364,High,Low-risk and resilient system; policy focus should shift from crisis mitigation to deepening reforms in the demographics domain.
Saudi Arabia,Stable Reformers with Institutional Momentum,T0_reference,LegalAutonomy,-0.1459323626898919,High,Low-risk and resilient system; policy focus should shift from crisis mitigation to deepening reforms in the legalautonomy domain.
Syrian Arab Republic,Collapsed Statistical System (False Stability),T0_reference,Demographics,-0.144291032114227,Collapsed,Quantitative indicators are unreliable due to data-system collapse; policy assessment should prioritize qualitative evidence and humanitarian monitoring.
Tunisia,Transitional or Mixed Trajectory System,T0_reference,Governance,-0.08521352496969,Medium-High,"Mixed signals across risk, structure, and dynamics; targeted diagnostic assessment is recommended before policy prioritization."
United Arab Emirates,Stable Reformers with Institutional Momentum,T0_reference,WBL,-0.0998823633400174,Very High,Low-risk and resilient system; policy focus should shift from crisis mitigation to deepening reforms in the wbl domain.
West Bank and Gaza,Shock-Exposed Fragile System,T3_strong,Health,0.0453994482060956,Very Low,High-risk environment with direct exposure to shocks; interventions should focus on stabilizing the health domain and strengthening crisis-response capacity.
"Yemen, Rep.",Collapsed Statistical System (False Stability),T0_reference,Labor,-0.0151265311984142,Collapsed,Quantitative indicators are unreliable due to data-system collapse; policy assessment should prioritize qualitative evidence and humanitarian monitoring.
